comment,aspect,polarity
http://example.org/tic-absa/comment/56827992ec4a89a0b3000024,contenido,neutral
http://example.org/tic-absa/comment/56827992ec4a89a0b3000024,interaccion,neutral
http://example.org/tic-absa/comment/568428b7ec4a89c4b000001e,evaluacion,neutral
http://example.org/tic-absa/comment/568428b7ec4a89c4b000001e,plataforma,neutral
http://example.org/tic-absa/comment/56842edcec4a89c4b000001f,docente,neutral
http://example.org/tic-absa/comment/568ae0abec4a891e5300002f,interaccion,neutral
http://example.org/tic-absa/comment/568c03d8ec4a89a0b3000034,plataforma,negative
http://example.org/tic-absa/comment/568c4e49ec4a8987d9000041,interaccion,neutral
http://example.org/tic-absa/comment/568c5e75ec4a89c4b0000036,contenido,neutral
http://example.org/tic-absa/comment/568c5e75ec4a89c4b0000036,interaccion,neutral
http://example.org/tic-absa/comment/568d440dec4a89c4b000003b,interaccion,negative
http://example.org/tic-absa/comment/56927c37ec4a891e5300004a,contenido,neutral
http://example.org/tic-absa/comment/569345f5ec4a89a0b300004e,contenido,neutral
http://example.org/tic-absa/comment/5693f16eec4a89c4b0000064,contenido,neutral
http://example.org/tic-absa/comment/5695247bec4a89c4b0000072,interaccion,negative
http://example.org/tic-absa/comment/569533f1ec4a8987d9000077,contenido,neutral
http://example.org/tic-absa/comment/56956e81ec4a891e53000064,interaccion,neutral
http://example.org/tic-absa/comment/5696ae88ec4a89a0b3000063,plataforma,neutral
http://example.org/tic-absa/comment/569d5f64ec4a89a0b300007c,docente,neutral
http://example.org/tic-absa/comment/569d5f64ec4a89a0b300007c,interaccion,neutral
http://example.org/tic-absa/comment/569d7299ec4a8987d900009b,interaccion,neutral
http://example.org/tic-absa/comment/569d748cec4a8987d900009c,contenido,neutral
http://example.org/tic-absa/comment/569d748cec4a8987d900009c,interaccion,neutral
http://example.org/tic-absa/comment/569ed22bec4a89a0b3000082,contenido,neutral
http://example.org/tic-absa/comment/569ed3f3ec4a89c4b000009e,evaluacion,neutral
http://example.org/tic-absa/comment/56a16817ec4a8987d90000b2,contenido,neutral
http://example.org/tic-absa/comment/56a16817ec4a8987d90000b2,plataforma,neutral
http://example.org/tic-absa/comment/56a16a7eec4a8987d90000b3,contenido,neutral
http://example.org/tic-absa/comment/56a3d3e3ec4a89a0b300009e,contenido,neutral
http://example.org/tic-absa/comment/56a3d5a9ec4a891e530000a9,interaccion,neutral
http://example.org/tic-absa/comment/56a58fceec4a8987d90000bf,contenido,neutral
http://example.org/tic-absa/comment/56a6d840ec4a89c4b00000c8,interaccion,neutral
http://example.org/tic-absa/comment/56a7672bec4a891e530000bd,interaccion,neutral
http://example.org/tic-absa/comment/56a8c719ec4a8987d90000cd,interaccion,neutral
http://example.org/tic-absa/comment/56aa0502ec4a8987d90000d6,evaluacion,neutral
http://example.org/tic-absa/comment/56ad5f6fec4a89c4b00000ef,interaccion,neutral
http://example.org/tic-absa/comment/56ad613cec4a8987d90000dd,interaccion,neutral
http://example.org/tic-absa/comment/56af87e7ec4a8987d90000e4,evaluacion,neutral
http://example.org/tic-absa/comment/56afc49bec4a891e530000dc,evaluacion,neutral
http://example.org/tic-absa/comment/56b1796cec4a891e530000e7,contenido,neutral
http://example.org/tic-absa/comment/56b186e7ec4a89a0b30000db,contenido,neutral
http://example.org/tic-absa/comment/56b62eeaec4a8987d9000101,contenido,neutral
http://example.org/tic-absa/comment/56b62eeaec4a8987d9000101,plataforma,neutral
http://example.org/tic-absa/comment/56b62f89ec4a89c4b0000111,contenido,neutral
http://example.org/tic-absa/comment/56ba7f12ec4a89a0b30000e9,evaluacion,neutral
http://example.org/tic-absa/comment/56bbfe86ec4a89c4b0000137,plataforma,neutral
http://example.org/tic-absa/comment/56bbffc2ec4a89a0b30000fa,evaluacion,neutral
http://example.org/tic-absa/comment/56bc0789ec4a891e53000117,plataforma,neutral
http://example.org/tic-absa/comment/56bc7f6bec4a89a0b3000103,interaccion,negative
http://example.org/tic-absa/comment/56bc7f6bec4a89a0b3000103,plataforma,negative
http://example.org/tic-absa/comment/56bcd4d8ec4a8987d9000141,evaluacion,neutral
http://example.org/tic-absa/comment/56bcd650ec4a8987d9000142,contenido,neutral
http://example.org/tic-absa/comment/571a9432ec4a89942000000b,plataforma,neutral
http://example.org/tic-absa/comment/571acf41ec4a891a7500000e,contenido,neutral
http://example.org/tic-absa/comment/571ad133ec4a8916fc000011,plataforma,neutral
http://example.org/tic-absa/comment/571ae7e2ec4a8916fc000013,interaccion,neutral
http://example.org/tic-absa/comment/571ef9eaec4a891a75000069,contenido,neutral
http://example.org/tic-absa/comment/571f5977ec4a891e17000062,contenido,neutral
http://example.org/tic-absa/comment/5720e44dec4a891a75000089,docente,neutral
http://example.org/tic-absa/comment/5720f8dbec4a891a7500008c,evaluacion,neutral
http://example.org/tic-absa/comment/5720f8dbec4a891a7500008c,plataforma,neutral
